decimalLongitude,decimalLatitude,basisOfRecord,scientificName,remark
131.924022,43.002323,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.40687,42.94763,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.304273,42.886302,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.456267,42.810648,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.430339,42.973031,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.927262,43.008014,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
127.152836,37.374963,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
142.187544,46.062611,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
142.187089,46.062258,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
142.149108,46.008922,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
142.187836,46.063369,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
127.259968,39.043358,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.407015,42.919158,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.452587,42.812397,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
143.212564,46.82277,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.433512,42.844067,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
136.557586,44.958457,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.554875,43.768297,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
142.759021,46.942225,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.992339,43.213384,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
127.74735,37.870952,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
127.173146,37.750442,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
127.172056,37.751911,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
115.607187,39.84408,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.896575,43.120239,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.894408,43.055611,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
144.099717,43.437397,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.318586,44.422289,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
134.700035,46.111369,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
142.809952,47.412899,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.989547,44.454644,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
127.39911,35.753121,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
136.644353,45.028879,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
142.96457,46.609847,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
116.739806,40.554609,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
127.566982,50.248525,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
128.642482,37.37263,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
128.642482,37.37263,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
128.461181,37.189272,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
141.379947,42.987125,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
132.820617,44.607761000000004,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
127.764999,35.686196,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
133.278389,42.759333,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
126.831805,37.482565,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
126.831418,37.48446,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
119.572288,35.9327,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
126.88544,34.555095,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
126.88544,34.555095,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
126.88544,34.555095,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
126.88544,34.555095,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
126.885303,34.555273,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
126.885303,34.555273,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
126.885303,34.555273,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
126.94465,34.524818,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
126.94465,34.524818,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
126.94465,34.524818,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
126.94465,34.524818,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
115.924176,40.203655,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.490628,43.180943,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.983214,43.222647,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
121.695122,41.627392,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
121.72908,41.629528,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
137.024643,50.607361,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
121.716605,41.663383,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
121.699722,41.627322,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
131.343163,44.432609,HUMAN_OBSERVATION,Quercus mongolica,Quercus mongolica
